speech_id,lang_rank,zero_shot,relative_speaker_position,bertscore,translated
CRE-20060404-ITEM-006_2-056,high,True,0.925,0.5660951162038242,False
CRE-20060404-ITEM-006_2-058,high,True,0.975,0.0575811952222102,False
CRE-20060404-ITEM-006_2-020,high,False,0.025,0.6644026046948548,False
CRE-20060404-ITEM-006_2-021,high,False,0.05,0.2245269493222905,False
CRE-20060404-ITEM-006_2-022,high,False,0.075,0.39477850257677777,False
CRE-20060404-ITEM-006_2-023,high,False,0.1,0.2849928257893933,False
CRE-20060404-ITEM-006_2-024,low,False,0.125,0.3036225488249032,False
CRE-20060404-ITEM-006_2-025,medium,False,0.15,0.5999395744939269,False
CRE-20060404-ITEM-006_2-026,medium,False,0.175,0.37511625033004214,False
CRE-20060404-ITEM-006_2-027,medium,False,0.2,0.5418043316318798,False
CRE-20060404-ITEM-006_2-028,low,False,0.225,0.3046096463696205,False
CRE-20060404-ITEM-006_2-029,medium,False,0.25,0.5232116604279368,False
CRE-20060404-ITEM-006_2-030,medium,False,0.275,0.38675254677051163,False
CRE-20060404-ITEM-006_2-031,high,False,0.3,0.6127215558883742,False
CRE-20060404-ITEM-006_2-032,high,False,0.325,0.5282890556049571,False
CRE-20060404-ITEM-006_2-033,low,False,0.35,0.27413799094629965,False
CRE-20060404-ITEM-006_2-034,medium,False,0.375,0.6518673973305552,False
CRE-20060404-ITEM-006_2-035,medium,False,0.4,0.27512437561800007,False
CRE-20060404-ITEM-006_2-036,medium,False,0.425,0.25543756856664873,False
CRE-20060404-ITEM-006_2-037,low,False,0.45,0.32567360222191605,False
CRE-20060404-ITEM-006_2-038,low,False,0.475,0.5955061995822634,False
CRE-20060404-ITEM-006_2-039,medium,False,0.5,0.3100333149994923,False
CRE-20060404-ITEM-006_2-040,medium,False,0.525,0.31452108746655616,False
CRE-20060404-ITEM-006_2-041,medium,False,0.55,0.3340481683058397,False
CRE-20060404-ITEM-006_2-042,medium,False,0.575,0.6136138861555279,False
CRE-20060404-ITEM-006_2-043,low,False,0.6,0.24118625221696188,False
CRE-20060404-ITEM-006_2-044,medium,False,0.625,0.5158244331109074,False
CRE-20060404-ITEM-006_2-045,low,False,0.65,0.24503126420050428,False
CRE-20060404-ITEM-006_2-046,low,False,0.675,0.30584003089628187,False
CRE-20060404-ITEM-006_2-047,low,False,0.7,0.27985995694095617,False
CRE-20060404-ITEM-006_2-048,high,False,0.725,0.25898333325619133,False
CRE-20060404-ITEM-006_2-049,medium,False,0.75,0.26692256476435017,False
CRE-20060404-ITEM-006_2-050,medium,False,0.775,0.2833101939887191,False
CRE-20060404-ITEM-006_2-051,medium,False,0.8,0.2705987805007818,False
CRE-20060404-ITEM-006_2-052,medium,False,0.825,0.46729966957368874,False
CRE-20060404-ITEM-006_2-053,medium,False,0.85,0.5702761611894379,False
CRE-20060404-ITEM-006_2-054,medium,False,0.875,0.2884633725830808,False
CRE-20060404-ITEM-006_2-055,medium,False,0.9,0.30800090059042207,False
CRE-20060404-ITEM-006_2-056,high,False,0.925,0.5175275810486958,False
CRE-20060404-ITEM-006_2-058,high,False,0.975,0.20678744308844363,False
CRE-20060118-ITEM-008_3-231,high,True,0.019230769230769232,0.6160824385495925,False
CRE-20060118-ITEM-008_3-232,medium,True,0.038461538461538464,0.5127418228000888,False
CRE-20060118-ITEM-008_3-233,high,True,0.057692307692307696,0.4743641798118878,False
CRE-20060118-ITEM-008_3-234,high,True,0.07692307692307693,0.48790336550356617,False
CRE-20060118-ITEM-008_3-235,medium,True,0.09615384615384616,0.12767662956102452,False
CRE-20060118-ITEM-008_3-236,medium,True,0.11538461538461539,0.513525668038,False
CRE-20060118-ITEM-008_3-237,medium,True,0.1346153846153846,0.4761176059195158,False
CRE-20060118-ITEM-008_3-238,low,True,0.15384615384615385,0.17434531659826533,False
CRE-20060118-ITEM-008_3-239,medium,True,0.17307692307692307,0.2579637976086928,False
CRE-20060118-ITEM-008_3-240,medium,True,0.19230769230769232,0.26900236749029066,False
CRE-20060118-ITEM-008_3-241,medium,True,0.21153846153846154,0.1090351333827567,False
CRE-20060118-ITEM-008_3-242,low,True,0.23076923076923078,0.20364384617227688,False
CRE-20060118-ITEM-008_3-243,high,True,0.25,0.1319293060025933,False
CRE-20060118-ITEM-008_3-244,high,True,0.2692307692307692,0.15606101815263135,False
CRE-20060118-ITEM-008_3-245,medium,True,0.28846153846153844,0.2255217616349444,False
CRE-20060118-ITEM-008_3-246,medium,True,0.3076923076923077,0.47470099678406585,False
CRE-20060118-ITEM-008_3-247,medium,True,0.3269230769230769,0.17618776761641516,False
CRE-20060118-ITEM-008_3-248,high,True,0.34615384615384615,0.5503197191530845,False
CRE-20060118-ITEM-008_3-249,high,True,0.36538461538461536,0.5703928488847716,False
CRE-20060118-ITEM-008_3-250,high,True,0.38461538461538464,0.14843824244658527,False
CRE-20060118-ITEM-008_3-251,high,True,0.40384615384615385,0.646301848127976,False
CRE-20060118-ITEM-008_3-252,medium,True,0.4230769230769231,0.2200003055480438,False
CRE-20060118-ITEM-008_3-253,medium,True,0.4423076923076923,0.511789944182402,False
CRE-20060118-ITEM-008_3-254,medium,True,0.46153846153846156,0.21559753358338063,False
CRE-20060118-ITEM-008_3-255,high,True,0.4807692307692308,0.2368424747155482,False
CRE-20060118-ITEM-008_3-257,high,True,0.5192307692307693,0.20702372947965314,False
CRE-20060118-ITEM-008_3-259,medium,True,0.5576923076923077,0.16493014486220792,False
CRE-20060118-ITEM-008_3-260,medium,True,0.5769230769230769,0.16952131748069701,False
CRE-20060118-ITEM-008_3-261,low,True,0.5961538461538461,0.16559696242572255,False
CRE-20060118-ITEM-008_3-262,medium,True,0.6153846153846154,0.23932158449326255,False
CRE-20060118-ITEM-008_3-263,medium,True,0.6346153846153846,0.541910363788052,False
CRE-20060118-ITEM-008_3-264,medium,True,0.6538461538461539,0.4735951495158824,False
CRE-20060118-ITEM-008_3-265,high,True,0.6730769230769231,0.550835622789983,False
CRE-20060118-ITEM-008_3-266,medium,True,0.6923076923076923,0.12938392256643627,False
CRE-20060118-ITEM-008_3-267,low,True,0.7115384615384616,0.16805236204080343,False
CRE-20060118-ITEM-008_3-268,medium,True,0.7307692307692307,0.4982857577841603,False
CRE-20060118-ITEM-008_3-269,medium,True,0.75,0.41488012645837036,False
CRE-20060118-ITEM-008_3-270,medium,True,0.7692307692307693,0.5902495956756029,False
CRE-20060118-ITEM-008_3-273,medium,True,0.7884615384615384,0.22913820651271127,False
CRE-20060118-ITEM-008_3-274,medium,True,0.8076923076923077,0.39618533241841913,False
CRE-20060118-ITEM-008_3-275,medium,True,0.8269230769230769,0.14822841856903857,False
CRE-20060118-ITEM-008_3-276,low,True,0.8461538461538461,0.15664517743683928,False
CRE-20060118-ITEM-008_3-277,low,True,0.8653846153846154,0.16051702775115534,False
CRE-20060118-ITEM-008_3-278,medium,True,0.8846153846153846,0.11647629400471832,False
CRE-20060118-ITEM-008_3-279,high,True,0.9038461538461539,0.5708984148976213,False
CRE-20060118-ITEM-008_3-280,high,True,0.9230769230769231,0.5757054064176542,False
CRE-20060118-ITEM-008_3-282,medium,True,0.9615384615384616,0.393873967796983,False
CRE-20060118-ITEM-008_3-283,high,True,0.9807692307692307,0.11138935585407106,False
CRE-20060118-ITEM-008_3-231,high,False,0.019230769230769232,0.5697509697940207,False
CRE-20060118-ITEM-008_3-232,medium,False,0.038461538461538464,0.5900610475559026,False
CRE-20060118-ITEM-008_3-233,high,False,0.057692307692307696,0.5012515164105101,False
CRE-20060118-ITEM-008_3-234,high,False,0.07692307692307693,0.4042459240183522,False
CRE-20060118-ITEM-008_3-235,medium,False,0.09615384615384616,0.5541060378189789,False
CRE-20060118-ITEM-008_3-236,medium,False,0.11538461538461539,0.5150407500388596,False
CRE-20060118-ITEM-008_3-237,medium,False,0.1346153846153846,0.5146159227602581,False
CRE-20060118-ITEM-008_3-238,low,False,0.15384615384615385,0.32788102299598126,False
CRE-20060118-ITEM-008_3-239,medium,False,0.17307692307692307,0.3009232496533022,False
CRE-20060118-ITEM-008_3-240,medium,False,0.19230769230769232,0.3108566032588761,False
CRE-20060118-ITEM-008_3-241,medium,False,0.21153846153846154,0.3166762217862238,False
CRE-20060118-ITEM-008_3-242,low,False,0.23076923076923078,0.54150635146621,False
CRE-20060118-ITEM-008_3-243,high,False,0.25,0.2537173069279065,False
CRE-20060118-ITEM-008_3-244,high,False,0.2692307692307692,0.47118999625294683,False
CRE-20060118-ITEM-008_3-245,medium,False,0.28846153846153844,0.252224941532073,False
CRE-20060118-ITEM-008_3-246,medium,False,0.3076923076923077,0.27084163937829225,False
CRE-20060118-ITEM-008_3-247,medium,False,0.3269230769230769,0.5713344536581588,False
CRE-20060118-ITEM-008_3-248,high,False,0.34615384615384615,0.5610930982591235,False
CRE-20060118-ITEM-008_3-249,high,False,0.36538461538461536,0.2653466709080122,False
CRE-20060118-ITEM-008_3-250,high,False,0.38461538461538464,0.25401926983501866,False
CRE-20060118-ITEM-008_3-251,high,False,0.40384615384615385,0.2723485663847863,False
CRE-20060118-ITEM-008_3-252,medium,False,0.4230769230769231,0.2712114845952272,False
CRE-20060118-ITEM-008_3-253,medium,False,0.4423076923076923,0.2297416779220154,False
CRE-20060118-ITEM-008_3-254,medium,False,0.46153846153846156,0.32968230927043946,False
CRE-20060118-ITEM-008_3-255,high,False,0.4807692307692308,0.23525409216600698,False
CRE-20060118-ITEM-008_3-257,high,False,0.5192307692307693,0.2348026894928372,False
CRE-20060118-ITEM-008_3-259,medium,False,0.5576923076923077,0.2827601037432223,False
CRE-20060118-ITEM-008_3-260,medium,False,0.5769230769230769,0.3006195714890697,False
CRE-20060118-ITEM-008_3-261,low,False,0.5961538461538461,0.28010551519083277,False
CRE-20060118-ITEM-008_3-262,medium,False,0.6153846153846154,0.4495741188594148,False
CRE-20060118-ITEM-008_3-263,medium,False,0.6346153846153846,0.5253827823393721,False
CRE-20060118-ITEM-008_3-264,medium,False,0.6538461538461539,0.30840821045521283,False
CRE-20060118-ITEM-008_3-265,high,False,0.6730769230769231,0.27820344294011023,False
CRE-20060118-ITEM-008_3-266,medium,False,0.6923076923076923,0.27048320223350975,False
CRE-20060118-ITEM-008_3-267,low,False,0.7115384615384616,0.23086037957769262,False
CRE-20060118-ITEM-008_3-268,medium,False,0.7307692307692307,0.5268005499843158,False
CRE-20060118-ITEM-008_3-269,medium,False,0.75,0.26838814002646777,False
CRE-20060118-ITEM-008_3-270,medium,False,0.7692307692307693,0.5448137749977501,False
CRE-20060118-ITEM-008_3-273,medium,False,0.7884615384615384,0.3537953756995926,False
CRE-20060118-ITEM-008_3-274,medium,False,0.8076923076923077,0.3227280692566425,False
CRE-20060118-ITEM-008_3-275,medium,False,0.8269230769230769,0.2734645906360137,False
CRE-20060118-ITEM-008_3-276,low,False,0.8461538461538461,0.31525404135327256,False
CRE-20060118-ITEM-008_3-277,low,False,0.8653846153846154,0.35414732379797503,False
CRE-20060118-ITEM-008_3-278,medium,False,0.8846153846153846,0.27644483173767265,False
CRE-20060118-ITEM-008_3-279,high,False,0.9038461538461539,0.5155991621117266,False
CRE-20060118-ITEM-008_3-280,high,False,0.9230769230769231,0.5841996579733434,False
CRE-20060118-ITEM-008_3-282,medium,False,0.9615384615384616,0.2515090380314843,False
CRE-20060118-ITEM-008_3-283,high,False,0.9807692307692307,0.20282333903035135,False
CRE-20060214-ITEM-004_2-008,medium,False,0.03125,0.5436211970045937,False
CRE-20060214-ITEM-004_2-009,high,False,0.0625,0.6046181688580067,False
CRE-20060214-ITEM-004_2-010,medium,False,0.09375,0.28492808297982414,False
CRE-20060214-ITEM-004_2-011,high,False,0.125,0.5934287998918865,False
CRE-20060214-ITEM-004_2-012,low,False,0.15625,0.28999865926152496,False
CRE-20060214-ITEM-004_2-013,medium,False,0.1875,0.5959386578234211,False
CRE-20060214-ITEM-004_2-014,high,False,0.21875,0.2514465076569227,False
CRE-20060214-ITEM-004_2-015,medium,False,0.25,0.6774637563336985,False
CRE-20060214-ITEM-004_2-016,high,False,0.28125,0.505419919779146,False
CRE-20060214-ITEM-004_2-017,high,False,0.3125,0.5644270474659775,False
CRE-20060214-ITEM-004_2-018,medium,False,0.34375,0.26059759647900416,False
CRE-20060214-ITEM-004_2-019,high,False,0.375,0.5866576621033014,False
CRE-20060214-ITEM-004_2-020,high,False,0.40625,0.5736937137702222,False
CRE-20060214-ITEM-004_2-021,medium,False,0.4375,0.2655250212197035,False
CRE-20060214-ITEM-004_2-022,medium,False,0.46875,0.6005530669867342,False
CRE-20060214-ITEM-004_2-023,low,False,0.5,0.3665699560634455,False
CRE-20060214-ITEM-004_2-024,low,False,0.53125,0.5351292176620037,False
CRE-20060214-ITEM-004_2-025,medium,False,0.5625,0.5950751079647781,False
CRE-20060214-ITEM-004_2-026,medium,False,0.59375,0.31226918502484147,False
CRE-20060214-ITEM-004_2-027,medium,False,0.625,0.31382677343106163,False
CRE-20060214-ITEM-004_2-028,high,False,0.65625,0.2849928257893933,False
CRE-20060214-ITEM-004_2-029,medium,False,0.6875,0.5827572605901437,False
CRE-20060214-ITEM-004_2-030,high,False,0.71875,0.255507951899337,False
CRE-20060214-ITEM-004_2-031,low,False,0.75,0.2697334017580692,False
CRE-20060214-ITEM-004_2-032,high,False,0.78125,0.31340980106673394,False
CRE-20060214-ITEM-004_2-033,low,False,0.8125,0.36657515965395576,False
CRE-20060214-ITEM-004_2-034,medium,False,0.84375,0.3120056541880345,False
CRE-20060214-ITEM-004_2-035,medium,False,0.875,0.28703886855608296,False
CRE-20060214-ITEM-004_2-036,high,False,0.90625,0.5093018521292603,False
CRE-20060214-ITEM-004_2-037,high,False,0.9375,0.5680936316119388,False
CRE-20060214-ITEM-004_2-008,medium,True,0.03125,0.6489954088896852,False
CRE-20060214-ITEM-004_2-009,high,True,0.0625,0.589390810474644,False
CRE-20060214-ITEM-004_2-010,medium,True,0.09375,0.5528188527220579,False
CRE-20060214-ITEM-004_2-011,high,True,0.125,0.2098718986953394,False
CRE-20060214-ITEM-004_2-012,low,True,0.15625,0.158425117780183,False
CRE-20060214-ITEM-004_2-013,medium,True,0.1875,0.558668542250079,False
CRE-20060214-ITEM-004_2-014,high,True,0.21875,0.16996096109594372,False
CRE-20060214-ITEM-004_2-015,medium,True,0.25,0.25125631566167267,False
CRE-20060214-ITEM-004_2-016,high,True,0.28125,0.18306783941208432,False
CRE-20060214-ITEM-004_2-017,high,True,0.3125,0.5944796990413402,False
CRE-20060214-ITEM-004_2-018,medium,True,0.34375,0.1584037193174198,False
CRE-20060214-ITEM-004_2-019,high,True,0.375,0.6574069102942169,False
CRE-20060214-ITEM-004_2-020,high,True,0.40625,0.5456781709602817,False
CRE-20060214-ITEM-004_2-021,medium,True,0.4375,0.16769007798660632,False
CRE-20060214-ITEM-004_2-022,medium,True,0.46875,0.6490577658397981,False
CRE-20060214-ITEM-004_2-023,low,True,0.5,0.15216952990865842,False
CRE-20060214-ITEM-004_2-024,low,True,0.53125,0.462776149024508,False
CRE-20060214-ITEM-004_2-025,medium,True,0.5625,0.21006208271567545,False
CRE-20060214-ITEM-004_2-026,medium,True,0.59375,0.16834736304296494,False
CRE-20060214-ITEM-004_2-027,medium,True,0.625,0.18971176002688975,False
CRE-20060214-ITEM-004_2-028,high,True,0.65625,0.6205672087936291,False
CRE-20060214-ITEM-004_2-029,medium,True,0.6875,0.11006243950037077,False
CRE-20060214-ITEM-004_2-030,high,True,0.71875,0.14809022249891013,False
CRE-20060214-ITEM-004_2-031,low,True,0.75,0.17180307775121734,False
CRE-20060214-ITEM-004_2-032,high,True,0.78125,0.22188278076845283,False
CRE-20060214-ITEM-004_2-033,low,True,0.8125,0.4934708682184382,False
CRE-20060214-ITEM-004_2-034,medium,True,0.84375,0.18609743619489533,False
CRE-20060214-ITEM-004_2-035,medium,True,0.875,0.15891990409913023,False
CRE-20060214-ITEM-004_2-036,high,True,0.90625,0.15397839157224194,False
CRE-20060214-ITEM-004_2-037,high,True,0.9375,0.6633139866677246,False
CRE-20060316-ITEM-005_4-019,high,True,0.02631578947368421,0.5024443094393888,False
CRE-20060316-ITEM-005_4-020,low,True,0.05263157894736842,0.6938073975099406,False
CRE-20060316-ITEM-005_4-021,low,True,0.07894736842105263,0.15233220118228347,False
CRE-20060316-ITEM-005_4-022,high,True,0.10526315789473684,0.769619306562807,False
CRE-20060316-ITEM-005_4-023,high,True,0.13157894736842105,0.388000869612677,False
CRE-20060316-ITEM-005_4-024,medium,True,0.15789473684210525,0.13602784128648435,False
CRE-20060316-ITEM-005_4-025,medium,True,0.18421052631578946,0.11281926835814501,False
CRE-20060316-ITEM-005_4-026,low,True,0.21052631578947367,0.41959089316044423,False
CRE-20060316-ITEM-005_4-027,medium,True,0.23684210526315788,0.20898910782942237,False
CRE-20060316-ITEM-005_4-028,high,True,0.2631578947368421,0.02954658641065497,False
CRE-20060316-ITEM-005_4-029,medium,True,0.2894736842105263,0.1434614667185438,False
CRE-20060316-ITEM-005_4-030,medium,True,0.3157894736842105,0.3998307535836245,False
CRE-20060316-ITEM-005_4-031,low,True,0.34210526315789475,0.16704034810705515,False
CRE-20060316-ITEM-005_4-032,low,True,0.3684210526315789,0.1491893379545176,False
CRE-20060316-ITEM-005_4-033,high,True,0.39473684210526316,0.4031280254012227,False
CRE-20060316-ITEM-005_4-034,high,True,0.42105263157894735,0.17751322111949522,False
CRE-20060316-ITEM-005_4-035,medium,True,0.4473684210526316,0.16414616396023354,False
CRE-20060316-ITEM-005_4-036,low,True,0.47368421052631576,0.18840279291938417,False
CRE-20060316-ITEM-005_4-037,medium,True,0.5,0.18044230086247665,False
CRE-20060316-ITEM-005_4-038,high,True,0.5263157894736842,0.49870932609620156,False
CRE-20060316-ITEM-005_4-039,medium,True,0.5526315789473685,0.19589693954419146,False
CRE-20060316-ITEM-005_4-040,medium,True,0.5789473684210527,0.1622261078481949,False
CRE-20060316-ITEM-005_4-041,medium,True,0.6052631578947368,0.18804713272670265,False
CRE-20060316-ITEM-005_4-042,high,True,0.631578947368421,0.2993558181642593,False
CRE-20060316-ITEM-005_4-043,low,True,0.6578947368421053,0.19620972389935232,False
CRE-20060316-ITEM-005_4-044,medium,True,0.6842105263157895,0.22447677661484988,False
CRE-20060316-ITEM-005_4-045,high,True,0.7105263157894737,0.11515090315438657,False
CRE-20060316-ITEM-005_4-046,high,True,0.7368421052631579,0.2125212371792668,False
CRE-20060316-ITEM-005_4-047,medium,True,0.7631578947368421,0.18962316194923615,False
CRE-20060316-ITEM-005_4-048,medium,True,0.7894736842105263,0.21761349436404226,False
CRE-20060316-ITEM-005_4-049,medium,True,0.8157894736842105,0.12921662953531338,False
CRE-20060316-ITEM-005_4-050,medium,True,0.8421052631578947,0.17128199352164233,False
CRE-20060316-ITEM-005_4-051,low,True,0.868421052631579,0.36755510460718677,False
CRE-20060316-ITEM-005_4-052,low,True,0.8947368421052632,0.18266288157031535,False
CRE-20060316-ITEM-005_4-053,medium,True,0.9210526315789473,0.19297724928542814,False
CRE-20060316-ITEM-005_4-054,high,True,0.9473684210526315,0.6245580585959788,False
CRE-20060316-ITEM-005_4-019,high,False,0.02631578947368421,0.46107236533127943,False
CRE-20060316-ITEM-005_4-020,low,False,0.05263157894736842,0.5804893991684154,False
CRE-20060316-ITEM-005_4-021,low,False,0.07894736842105263,0.47091669416053794,False
CRE-20060316-ITEM-005_4-022,high,False,0.10526315789473684,0.6398806071084735,False
CRE-20060316-ITEM-005_4-023,high,False,0.13157894736842105,0.4170291634270675,False
CRE-20060316-ITEM-005_4-024,medium,False,0.15789473684210525,0.29225937724641826,False
CRE-20060316-ITEM-005_4-025,medium,False,0.18421052631578946,0.2694622073622965,False
CRE-20060316-ITEM-005_4-026,low,False,0.21052631578947367,0.5357294565198469,False
CRE-20060316-ITEM-005_4-027,medium,False,0.23684210526315788,0.3268792720410178,False
CRE-20060316-ITEM-005_4-028,high,False,0.2631578947368421,0.1786117072615997,False
CRE-20060316-ITEM-005_4-029,medium,False,0.2894736842105263,0.2818819840899478,False
CRE-20060316-ITEM-005_4-030,medium,False,0.3157894736842105,0.29388300972448833,False
CRE-20060316-ITEM-005_4-031,low,False,0.34210526315789475,0.34658223478477757,False
CRE-20060316-ITEM-005_4-032,low,False,0.3684210526315789,0.26510180260306615,False
CRE-20060316-ITEM-005_4-033,high,False,0.39473684210526316,0.4089469066706763,False
CRE-20060316-ITEM-005_4-034,high,False,0.42105263157894735,0.2737731402771083,False
CRE-20060316-ITEM-005_4-035,medium,False,0.4473684210526316,0.3354202910617966,False
CRE-20060316-ITEM-005_4-036,low,False,0.47368421052631576,0.33761232467920904,False
CRE-20060316-ITEM-005_4-037,medium,False,0.5,0.5989547149527723,False
CRE-20060316-ITEM-005_4-038,high,False,0.5263157894736842,0.2898195026340307,False
CRE-20060316-ITEM-005_4-039,medium,False,0.5526315789473685,0.3524757408407249,False
CRE-20060316-ITEM-005_4-040,medium,False,0.5789473684210527,0.5433462599677974,False
CRE-20060316-ITEM-005_4-041,medium,False,0.6052631578947368,0.6170915037702003,False
CRE-20060316-ITEM-005_4-042,high,False,0.631578947368421,0.22717510122362586,False
CRE-20060316-ITEM-005_4-043,low,False,0.6578947368421053,0.35730355640615885,False
CRE-20060316-ITEM-005_4-044,medium,False,0.6842105263157895,0.3370405441400044,False
CRE-20060316-ITEM-005_4-045,high,False,0.7105263157894737,0.506318610264868,False
CRE-20060316-ITEM-005_4-046,high,False,0.7368421052631579,0.42576392328388907,False
CRE-20060316-ITEM-005_4-047,medium,False,0.7631578947368421,0.36793201787666235,False
CRE-20060316-ITEM-005_4-048,medium,False,0.7894736842105263,0.4846260231139085,False
CRE-20060316-ITEM-005_4-049,medium,False,0.8157894736842105,0.23855350460439045,False
CRE-20060316-ITEM-005_4-050,medium,False,0.8421052631578947,0.29396858722926456,False
CRE-20060316-ITEM-005_4-051,low,False,0.868421052631579,0.2525422579940491,False
CRE-20060316-ITEM-005_4-052,low,False,0.8947368421052632,0.5392300506244908,False
CRE-20060316-ITEM-005_4-053,medium,False,0.9210526315789473,0.3003274973060819,False
CRE-20060316-ITEM-005_4-054,high,False,0.9473684210526315,0.4991766362758344,False
CRE-20060215-ITEM-003_3-025,medium,True,0.02631578947368421,0.6791032819405437,False
CRE-20060215-ITEM-003_3-026,high,True,0.05263157894736842,0.0,False
CRE-20060215-ITEM-003_3-027,high,True,0.07894736842105263,0.5388865411940131,False
CRE-20060215-ITEM-003_3-028,medium,True,0.10526315789473684,0.4822812628302508,False
CRE-20060215-ITEM-003_3-029,medium,True,0.13157894736842105,0.4840748171883978,False
CRE-20060215-ITEM-003_3-030,medium,True,0.15789473684210525,0.4535307811833872,False
CRE-20060215-ITEM-003_3-031,medium,True,0.18421052631578946,0.5196671585312506,False
CRE-20060215-ITEM-003_3-032,medium,True,0.21052631578947367,0.5698975858994683,False
CRE-20060215-ITEM-003_3-033,medium,True,0.23684210526315788,0.11254943444703129,False
CRE-20060215-ITEM-003_3-034,medium,True,0.2631578947368421,0.06908834780599366,False
CRE-20060215-ITEM-003_3-035,medium,True,0.2894736842105263,0.1862809381683533,False
CRE-20060215-ITEM-003_3-036,high,True,0.3157894736842105,0.613127746612656,False
CRE-20060215-ITEM-003_3-037,high,True,0.34210526315789475,0.1599878572883558,False
CRE-20060215-ITEM-003_3-038,medium,True,0.3684210526315789,0.0833601204012044,False
CRE-20060215-ITEM-003_3-039,high,True,0.39473684210526316,0.0874846702391666,False
CRE-20060215-ITEM-003_3-040,medium,True,0.42105263157894735,0.13880229771260708,False
CRE-20060215-ITEM-003_3-041,low,True,0.4473684210526316,0.5763983541012094,False
CRE-20060215-ITEM-003_3-042,low,True,0.47368421052631576,0.10711106096084134,False
CRE-20060215-ITEM-003_3-043,medium,True,0.5,0.7400817459504947,False
CRE-20060215-ITEM-003_3-044,medium,True,0.5263157894736842,0.17816117743383236,False
CRE-20060215-ITEM-003_3-045,medium,True,0.5526315789473685,0.07140366897335289,False
CRE-20060215-ITEM-003_3-046,high,True,0.5789473684210527,-0.006088258784339842,False
CRE-20060215-ITEM-003_3-047,medium,True,0.6052631578947368,0.15004339988911677,False
CRE-20060215-ITEM-003_3-048,high,True,0.631578947368421,0.7627880594457195,False
CRE-20060215-ITEM-003_3-049,high,True,0.6578947368421053,0.1816682503027842,False
CRE-20060215-ITEM-003_3-050,low,True,0.6842105263157895,0.22432153647506287,False
CRE-20060215-ITEM-003_3-051,medium,True,0.7105263157894737,0.11193991393340683,False
CRE-20060215-ITEM-003_3-052,low,True,0.7368421052631579,0.7077473391101278,False
CRE-20060215-ITEM-003_3-053,medium,True,0.7631578947368421,0.09985841448737033,False
CRE-20060215-ITEM-003_3-054,low,True,0.7894736842105263,0.6095457769583912,False
CRE-20060215-ITEM-003_3-055,medium,True,0.8157894736842105,0.15064475625214493,False
CRE-20060215-ITEM-003_3-056,medium,True,0.8421052631578947,0.20586465816006266,False
